scenario,total_casos,programadas_pct,programables_proxima_ventana_pct,pendientes_total_pct,pendiente_capacidad_pct,pendiente_repuesto_pct,pendiente_conflicto_operativo_pct,escalar_decision_pct,actionable_pct,capacidad_utilizada_pct,horas_taller_usadas,riesgo_residual_no_atendido_pct,valor_capturado_proxy,valor_no_capturado_proxy
baseline_greedy_21d,1152,30.556,0.0,69.444,69.444,0.0,0.0,0.0,30.556,17.471,1822.958,66.915,6786249.003,8999477.157
heuristica_redisenada_35d,1152,19.271,31.684,49.045,44.965,4.08,0.0,0.0,50.955,46.748,4003.554,44.253,7927454.785,7858271.375
